id,location,fault_severity,severity_type,num_events,num_resources,total_log_volume
11232,421,0,1,3,1,14
11685,779,2,2,1,1,49
1318,690,1,1,2,2,6
909,59,1,2,1,1,4
18511,648,1,1,2,2,5
16460,478,0,2,2,1,91
12008,118,0,2,2,1,26
6811,124,0,2,2,1,37
16071,7,0,1,1,1,20
4486,12,0,1,1,1,1
183,1026,1,1,2,2,8
5729,270,0,4,1,1,1
15368,1106,0,1,1,1,51
5064,1090,0,1,1,1,16
11530,522,0,2,2,1,8
14860,1007,0,1,2,1,3
13166,836,0,1,1,1,2
14528,145,0,2,2,1,17
4202,895,1,2,4,1,16
3916,1020,1,1,1,1,13
11454,804,1,1,1,1,2
12297,1055,0,1,2,1,248
553,798,0,1,2,1,53
10390,1052,1,1,2,2,14
5056,122,0,2,2,1,10
10503,157,0,2,2,1,4
1835,802,1,1,3,3,10
10085,242,0,2,2,1,393
13807,893,0,1,3,1,139
11318,457,0,2,2,1,86
533,99,0,4,1,1,1
10538,839,1,1,1,1,90
11549,719,0,1,1,1,1
16900,793,0,1,1,1,13
599,1109,0,1,1,1,1
11700,648,0,1,3,3,7
18331,957,0,2,1,1,1
5381,600,2,2,1,1,22
13638,665,0,1,1,1,32
2703,846,0,2,1,1,2
13686,1107,0,2,1,1,44
6240,1052,2,1,2,2,10
8546,1107,0,1,2,1,226
4578,948,0,2,1,1,2
15870,646,0,1,1,1,22
17084,302,0,4,1,1,1
4114,273,0,1,1,1,1
8011,1,0,2,1,1,7
6588,124,0,2,2,1,18
12490,704,2,1,1,1,1
3975,476,0,2,2,1,99
4720,152,0,2,2,1,5
15209,734,0,1,2,1,11
6092,1076,1,2,1,1,2
9426,798,0,1,2,1,29
2307,520,0,2,2,1,23
13291,1046,0,1,2,2,5
17245,803,1,2,1,1,3
11726,963,0,1,1,1,450
15486,821,0,1,2,1,18
9033,1061,2,1,2,1,10
9959,714,0,1,2,2,10
3798,242,0,2,2,1,147
15624,613,1,1,3,1,23
5995,91,0,2,2,1,7
9644,1007,0,1,2,1,6
10779,300,0,2,2,1,44
9734,272,1,2,2,1,5
14954,1106,1,1,1,1,31
15493,611,0,1,1,1,4
6222,724,1,1,1,1,3
17390,173,1,2,1,1,2
6826,943,1,1,1,1,3
8611,821,2,1,2,1,30
9087,795,0,2,1,1,19
17472,733,1,1,1,1,5
12760,249,0,2,2,1,6
4963,704,2,2,1,1,26
6225,821,1,1,3,2,62
7959,802,0,1,1,1,2
1773,957,1,1,2,2,7
6136,408,1,2,2,1,10
5965,723,1,1,1,1,4
5390,255,0,2,2,1,7
13663,655,2,1,4,2,292
4501,888,0,1,1,1,3
13442,704,1,2,1,1,14
6958,989,0,2,1,1,1
16339,1015,0,1,1,1,8
9372,1019,0,1,2,1,58
5576,692,1,1,1,1,4
663,653,0,1,2,2,43
1473,945,1,1,1,1,6
949,651,0,1,1,1,3
10513,1106,0,1,1,1,1
14289,763,1,1,1,1,4
15260,416,0,4,1,1,2
9812,830,0,1,1,1,197
4916,704,2,2,1,1,22
17515,1024,2,1,1,1,14
17388,497,0,2,2,1,6
4450,890,0,2,1,1,3
16258,849,0,2,1,1,18
10528,208,0,1,2,1,5
4003,255,1,2,2,1,6
3954,139,1,1,2,1,7
13945,914,1,1,3,3,3
15607,326,0,1,1,1,4
11897,937,0,1,1,1,20
12609,1086,0,2,1,1,10
10122,506,0,2,2,1,261
7886,149,0,4,1,1,3
15771,846,0,2,1,1,8
17681,865,0,1,1,1,2
15863,925,2,1,1,1,20
17690,798,1,2,1,1,11
8606,243,0,2,2,1,284
11362,193,0,2,2,1,2
4604,723,0,1,1,1,1
5480,471,0,2,2,1,27
12277,1107,2,1,2,1,225
1400,375,0,2,2,1,10
6687,91,0,2,2,1,564
11153,1047,0,2,1,1,2
8313,798,2,2,1,1,64
5787,490,0,2,2,1,2
741,1051,0,1,1,1,3
16502,763,0,2,1,1,12
4036,896,0,1,3,1,41
5029,1011,0,1,1,1,2
18158,834,1,2,1,1,8
18441,118,0,2,2,1,30
4268,97,0,4,1,1,4
4092,1019,0,1,2,1,21
16819,226,0,4,1,1,2
7774,962,2,2,1,1,14
5824,885,0,2,1,1,6
7295,821,1,1,2,1,18
18146,812,0,1,1,1,407
17409,816,2,1,4,4,310
6095,638,0,4,3,1,9
9032,945,0,1,1,1,11
5210,468,0,2,2,1,17
11177,380,0,2,2,1,7
12324,1109,1,1,2,2,4
1697,1122,0,1,1,1,1
3106,1098,1,2,1,1,1
7824,376,0,1,3,1,4
2588,1,0,1,2,1,34
13644,303,0,4,1,1,1
13082,126,0,2,2,1,177
8150,520,0,2,2,1,19
6234,734,0,1,2,1,45
10350,507,0,2,2,1,50
13538,709,0,1,1,1,4
2338,466,0,2,2,1,3
17947,466,0,2,2,1,37
9786,12,0,2,1,1,2
9514,1102,0,2,1,1,2
13670,998,0,2,1,1,1
15482,727,0,1,1,1,2
12517,76,1,1,1,1,3
411,734,1,1,2,1,33
10237,830,0,1,1,1,32
12734,798,0,1,2,1,24
10863,309,0,2,2,1,6
11390,737,0,2,1,1,2
5260,1111,0,1,1,1,4
8244,314,1,2,2,1,4
4161,1023,1,1,1,1,2
16354,658,0,1,1,1,1
15236,477,0,2,2,1,113
14877,990,0,1,1,1,8
4810,445,0,2,2,1,16
4637,618,0,4,1,1,2
14124,758,1,1,1,1,1
4737,488,0,2,2,1,31
5377,643,1,1,2,1,4
14696,834,0,2,1,1,42
2880,607,1,1,3,3,13
17021,141,0,4,1,1,3
11043,497,0,2,2,1,154
6,332,1,2,1,1,2
2380,821,1,1,2,1,21
6563,794,0,1,4,4,6
2273,814,0,1,1,1,28
1743,794,1,1,3,3,4
12919,921,2,2,1,1,8
7922,742,0,1,3,2,2
8201,897,0,4,1,1,2
13659,466,0,2,2,1,10
2861,1107,0,1,2,1,35
17883,744,2,1,3,3,39
17057,122,0,2,2,1,14
12316,240,0,2,2,1,6
12541,691,0,1,3,3,9
363,809,0,1,2,1,10
4166,549,1,1,2,1,8
8354,810,0,2,1,1,17
9160,1089,1,1,1,1,16
1476,266,0,4,1,1,2
8193,1010,1,1,1,1,9
12708,1094,1,1,1,1,3
13410,345,0,2,3,2,6
12066,501,0,2,2,1,8
8570,939,0,1,1,1,2
4204,957,0,1,1,1,4
18290,373,0,2,2,1,136
11441,684,2,2,1,1,14
17975,1094,1,1,1,1,1
11262,821,0,2,1,1,28
3768,823,0,1,2,1,7
11418,244,0,2,2,1,103
13813,857,1,1,1,1,10
1665,846,1,2,1,1,20
4170,1065,0,1,1,1,1
12798,1008,0,2,1,1,18
681,1099,0,1,1,1,11
319,1099,0,1,1,1,16
17956,300,0,2,2,1,45
429,793,0,1,1,1,106
6663,906,1,1,1,1,6
10586,404,1,1,2,1,3
8583,1117,0,1,1,1,4
8030,461,0,2,2,1,6
5099,95,0,2,2,1,26
446,1056,1,1,2,2,3
5725,995,1,2,1,1,26
15436,893,0,1,3,1,38
6758,500,0,2,2,1,9
6449,122,0,2,2,1,24
4552,613,1,1,2,1,19
17865,846,0,2,1,1,33
1645,653,1,2,1,1,15
1308,100,0,2,2,1,4
8781,311,1,2,2,1,12
831,126,0,2,2,1,10
15145,1107,0,2,1,1,27
17654,477,0,1,3,2,24
603,507,0,2,2,1,122
5962,390,0,2,2,1,4
11520,756,0,1,1,1,1
10341,90,0,2,1,1,8
5070,684,0,1,2,1,40
1197,479,0,2,2,1,15
6187,734,1,1,2,1,33
733,1106,0,1,1,1,39
2242,124,0,2,2,1,23
479,1025,0,1,1,1,2
12362,473,0,2,2,1,12
14596,314,0,2,2,1,3
6801,1107,1,1,2,1,20
4896,249,1,1,4,2,26
3287,613,1,1,3,1,16
8377,161,1,2,2,1,8
14233,1029,0,1,1,1,7
5065,711,0,1,2,1,3
6233,375,0,2,2,1,99
4160,97,0,1,1,1,2
16840,244,0,2,2,1,56
18192,1054,0,1,1,1,4
7711,974,0,2,1,1,4
7254,810,1,1,2,1,14
3214,734,0,1,2,1,6
14597,1115,1,1,1,1,3
15086,867,2,1,1,1,33
8686,326,0,1,3,1,13
16989,931,2,1,4,3,32
420,686,0,1,3,2,8
16891,242,0,2,2,1,333
8046,899,1,1,5,1,8
7484,202,0,1,3,1,3
14880,923,0,1,1,1,1
16049,894,0,1,3,1,25
227,771,0,2,1,1,67
1387,95,0,2,2,1,4
12011,485,0,2,2,1,15
6123,974,0,1,1,1,2
8935,919,0,1,1,1,6
2865,1009,0,1,1,1,3
17241,814,0,2,1,1,2
5237,973,0,1,1,1,2
3185,120,1,2,2,1,4
4691,504,0,1,3,2,197
8423,500,0,2,2,1,4
17894,1058,0,2,1,1,1
14642,497,0,2,2,1,263
5292,471,0,2,2,1,29
3670,1084,1,1,1,1,6
7301,846,1,2,1,1,4
2105,234,0,2,2,2,3
1954,418,0,4,1,1,5
7699,875,0,2,1,1,4
15680,821,1,1,2,1,13
16960,490,0,2,2,1,43
2476,107,0,2,2,1,34
4646,126,0,2,2,1,95
4826,122,0,2,2,1,23
14595,1,1,2,1,1,11
12970,618,1,2,2,2,5
9353,95,0,2,2,1,7
17222,491,0,2,2,1,10
10057,500,0,2,2,1,18
12864,921,2,1,2,1,29
16999,878,0,1,1,1,2
2692,444,0,2,2,1,4
14976,963,0,1,1,1,244
6847,240,1,2,2,1,18
15784,599,0,2,1,1,14
8439,303,1,1,2,1,8
7067,684,0,2,1,1,53
18113,155,1,2,2,1,2
17415,717,0,1,1,1,2
12978,1010,0,1,1,1,15
5459,878,0,1,1,1,7
10742,991,1,1,1,1,3
497,253,0,2,2,1,10
6646,1058,0,2,1,1,2
12958,1042,0,1,2,1,17
5394,35,0,1,1,1,2
12610,648,1,1,2,2,5
5926,465,0,1,2,1,8
9713,499,0,2,2,1,346
7364,597,0,1,1,1,2
5311,836,0,1,1,1,6
13337,101,0,2,2,1,10
11149,476,0,2,2,1,161
6938,864,1,1,1,1,6
14109,808,0,1,1,1,1
16926,91,0,2,2,1,10
5219,157,0,2,2,1,34
14939,845,1,2,1,1,8
6492,695,0,1,1,1,6
4107,707,0,2,2,2,12
506,756,0,1,1,1,25
2435,738,1,1,1,1,2
12376,734,1,2,2,2,17
135,878,0,1,1,1,11
9605,244,0,2,2,1,53
13872,1084,0,2,2,1,2
15057,1008,0,2,1,1,44
11020,661,1,1,2,2,3
3536,1063,0,1,1,1,65
14249,821,2,1,2,1,216
3979,95,0,2,2,1,2
8293,407,0,4,1,1,1
2987,126,0,2,2,1,121
2361,821,2,1,2,1,45
11595,984,2,1,5,5,47
15473,641,0,1,2,1,416
8927,468,0,2,2,1,69
7128,1052,1,1,2,1,49
5580,644,0,1,2,1,20
2302,644,0,1,2,1,288
3332,468,0,2,2,1,16
15011,826,1,1,1,1,2
3262,763,0,1,2,1,14
8459,1107,0,1,2,1,146
3303,794,0,1,3,3,3
7207,124,0,2,2,1,23
2560,478,0,2,2,1,131
5935,504,0,2,2,1,15
17817,116,0,1,3,1,5
6081,704,0,1,1,1,2
1244,276,1,2,2,1,4
784,445,0,2,2,1,23
5703,846,2,1,2,1,22
4848,1,0,1,2,1,35
5634,1075,1,2,1,1,7
16696,793,0,1,1,1,79
12619,326,0,4,1,1,1
15671,252,1,2,2,1,2
12676,519,0,2,2,1,4
18093,1083,1,1,1,1,1
11855,972,1,2,3,2,6
1456,1048,0,1,1,1,1041
17460,1100,1,1,2,1,103
12099,957,0,1,2,1,3
274,244,0,2,2,1,88
105,376,1,2,2,1,10
13301,1046,0,1,2,2,4
12782,821,2,2,1,1,2
8928,324,0,2,2,1,6
11604,847,0,1,1,1,2
16445,709,0,1,1,1,1
16694,810,1,1,2,1,6
646,484,0,2,2,1,44
11171,894,0,1,3,1,28
18228,684,2,1,2,1,57
1104,760,1,1,3,2,64
16966,230,0,2,3,2,9
16874,1099,0,1,1,1,31
18127,943,1,1,1,1,3
1205,242,0,2,2,1,279
3172,122,0,2,2,1,49
18535,133,0,2,2,1,6
8729,734,1,1,2,1,39
3384,9,0,1,2,1,234
7640,998,0,1,1,1,1
7007,1049,0,1,1,1,2
11469,229,0,1,3,1,19
16837,1065,1,1,1,1,1
17237,878,0,1,1,1,1
19,644,1,1,2,1,7
14290,249,0,1,3,1,4
6761,321,0,1,2,1,3
15850,100,0,2,2,1,31
16249,126,0,2,2,1,24
11170,322,0,4,1,1,1
9380,618,1,1,1,1,2
1790,148,0,2,1,1,2
14735,1075,2,1,2,1,31
14241,57,1,1,1,1,2
5689,91,0,2,2,1,220
14799,462,1,2,1,1,2
15037,790,0,1,1,1,2
17745,1008,1,2,1,1,1
874,1100,2,1,2,1,157
11724,707,0,2,1,1,2
12109,662,0,1,2,2,3
2589,679,1,1,1,1,16
1619,533,0,1,4,3,7
9224,658,0,1,1,1,2
6197,1117,0,2,1,1,2
6643,51,1,1,2,2,3
14544,1125,1,1,1,1,2
14337,1109,0,1,1,1,2
16159,135,0,2,2,1,48
12623,297,0,4,1,1,2
11193,897,1,1,4,1,7
10700,498,0,2,2,1,2
1264,808,0,1,3,2,21
18386,526,0,2,2,1,18
5364,504,0,2,2,1,86
16123,603,0,1,1,1,2
6111,599,1,2,1,1,31
7607,810,2,1,3,1,57
14830,619,1,1,1,1,4
12961,1061,2,1,2,1,25
16230,9,0,1,2,1,4
8174,760,1,1,2,2,3
15369,1052,0,2,1,1,15
4558,122,0,2,2,1,181
12259,707,0,2,2,2,5
14532,805,0,1,1,1,3
6004,124,0,2,2,1,35
12646,380,0,2,2,1,6
8685,159,0,2,2,1,10
11183,477,0,1,1,1,2
8953,108,1,2,2,1,2
17491,691,0,2,2,2,6
13130,496,0,2,2,1,332
14740,814,0,2,1,1,5
532,1090,0,1,1,1,2
13907,765,1,2,1,1,3
18363,609,1,1,2,2,32
10422,584,0,2,1,1,1
6041,600,0,2,1,1,103
8590,897,2,1,9,1,66
17319,455,0,2,2,1,30
14844,790,1,1,2,2,10
6719,845,2,2,1,1,18
417,856,1,2,3,2,4
16552,1093,1,1,1,1,3
2145,466,0,2,2,1,126
13169,154,0,1,1,1,2
15657,102,0,2,2,1,4
17361,507,0,2,2,1,50
17844,242,0,2,2,1,320
16368,126,0,2,2,1,55
4652,810,0,2,1,1,4
4238,931,0,2,1,1,6
7490,834,2,1,2,1,31
8847,962,0,2,1,1,12
11995,896,0,1,4,1,19
7139,493,0,2,2,1,4
6002,477,0,2,2,1,110
14402,830,0,1,1,1,1
14409,793,0,1,1,1,76
1098,891,0,1,1,1,8
12774,278,1,2,3,2,9
5249,704,2,2,1,1,93
1382,1019,2,2,1,1,11
15226,130,1,1,1,1,2
94,1111,2,1,1,1,12
9591,398,0,4,1,1,1
11886,754,0,1,1,1,3
1621,1020,1,1,1,1,1
810,1025,0,4,1,1,4
8536,161,1,2,2,1,4
3169,300,1,2,2,1,7
6788,926,2,1,2,2,48
3111,681,0,1,1,1,16
4080,62,1,1,1,1,2
18193,442,1,2,2,1,4
16218,807,1,1,1,1,60
4246,282,0,4,1,1,2
14125,699,0,1,1,1,1
821,1008,1,2,1,1,35
13006,337,0,4,1,1,2
18173,822,0,1,1,1,2
11276,962,0,2,1,1,20
10371,496,0,2,2,1,355
9261,495,0,2,2,1,452
18297,1061,0,2,1,1,5
912,1090,1,1,1,1,6
7579,1050,1,1,1,1,2
10263,236,1,2,2,1,40
18391,810,0,1,2,1,36
16015,823,1,1,2,1,35
17938,122,0,2,2,1,21
2894,934,0,1,1,1,1
6648,1008,0,2,1,1,3
11137,603,2,1,1,1,1
17054,149,0,2,2,1,75
6495,984,0,2,1,1,10
10070,126,0,2,2,1,14
11029,1054,1,2,1,1,2
16043,495,0,2,2,1,25
12529,534,0,1,3,2,13
9536,420,1,2,2,1,6
5281,645,0,1,2,1,543
14815,13,0,1,1,1,4
11651,102,1,2,2,1,4
6697,700,0,2,1,1,1
488,400,0,4,1,1,2
9228,760,1,4,1,1,12
6298,600,2,2,1,1,101
12674,128,0,2,2,1,2
18262,278,0,1,3,1,4
3569,983,1,1,1,1,1
17870,473,0,2,2,1,8
2074,507,0,2,2,1,33
16700,821,2,1,2,1,66
8286,375,1,2,2,1,76
6739,691,0,2,3,2,22
13417,613,0,1,3,1,4
12365,682,0,1,1,1,8
6966,918,1,1,1,1,6
6572,1048,0,2,1,1,2
8558,834,0,1,2,1,12
11860,468,0,1,3,1,14
15193,964,0,1,1,1,2
17502,1024,0,1,1,1,30
13120,288,0,1,3,2,7
17275,175,1,2,1,1,2
16879,695,0,1,1,1,4
18392,418,1,2,2,1,4
11333,328,0,2,2,1,5
16107,808,0,1,3,2,3
2054,147,0,2,2,1,11
6395,100,0,2,2,1,9
14049,500,0,2,2,1,6
10894,128,0,2,2,1,6
6591,1065,1,1,1,1,4
11403,976,0,2,1,1,7
18213,849,0,1,1,1,6
1691,518,0,2,2,1,139
13032,879,0,1,1,1,3
13322,1076,0,2,1,1,2
1974,1037,0,2,1,1,1
8387,328,0,4,1,1,1
9942,255,0,2,2,1,35
9577,957,0,1,1,1,6
5904,135,0,2,2,1,73
7456,262,0,1,3,1,4
14265,945,0,1,1,1,7
17219,476,0,2,2,1,7
1086,1093,0,1,1,1,2
17788,296,0,2,2,1,6
5336,498,0,2,2,1,50
1314,810,0,2,1,1,17
7208,845,0,2,1,1,4
10998,9,0,1,3,2,50
2143,794,0,1,2,2,3
1164,794,2,1,4,4,140
6471,894,2,1,3,1,239
9099,798,0,2,1,1,26
13296,999,1,1,1,1,1
978,802,1,2,3,3,5
3645,243,0,2,2,1,6
4802,296,1,2,2,1,3
10027,684,1,1,2,1,79
1022,767,2,1,2,2,12
11848,892,0,1,3,1,407
15419,278,0,4,1,1,1
3058,240,0,2,2,1,3
7001,600,2,2,1,1,29
8160,721,0,1,1,1,20
14414,1086,2,1,3,2,17
8415,546,1,2,1,1,4
12471,171,0,1,2,1,3
11077,281,0,2,2,1,4
7847,931,0,2,1,1,3
6851,126,0,2,2,1,159
4852,1099,0,1,1,1,15
3982,116,0,1,2,1,2
8727,885,0,2,1,1,7
10683,484,0,2,2,1,4
9412,404,1,2,2,1,6
6288,999,1,1,1,1,3
18012,584,0,2,1,1,2
6261,477,0,2,2,1,53
8481,1103,1,1,2,2,4
7926,469,0,2,2,1,71
8789,1052,2,1,2,1,28
2542,984,1,1,1,1,1
3571,821,1,1,2,1,23
5602,707,0,2,2,2,5
570,1089,0,1,1,1,3
18452,457,0,2,2,1,44
10478,1119,2,1,1,1,50
9793,344,0,2,2,1,24
7516,276,1,2,1,1,2
15506,686,0,1,4,4,19
4969,1117,0,2,1,1,2
11738,1107,1,1,3,2,51
9037,473,0,2,2,1,7
2180,12,1,1,2,2,3
4831,876,0,1,1,1,15
4524,810,0,1,3,1,14
897,373,0,2,2,1,158
11590,635,0,1,1,1,2
16275,613,2,1,2,1,48
6421,834,0,1,2,1,45
12977,91,0,2,2,1,671
10389,124,0,2,2,1,22
716,895,2,1,3,1,20
3821,643,0,4,1,1,2
9584,500,0,2,2,1,6
18110,644,2,1,2,1,28
2184,1014,0,1,3,3,27
4253,1104,0,2,1,1,1
149,504,0,2,2,1,11
18163,480,0,2,2,1,115
17847,122,0,2,2,1,17
14558,1107,1,1,2,1,57
16573,733,0,1,1,1,1
18039,691,1,2,3,2,67
1428,921,1,1,1,1,1
13919,1083,0,2,1,1,3
5775,763,1,2,1,1,16
12068,899,0,1,1,1,2
2596,244,0,2,2,1,56
15036,895,0,1,4,1,6
13999,846,0,2,1,1,1
3182,157,0,2,2,1,9
18498,892,0,1,3,1,19
2860,798,1,2,1,1,11
6724,707,0,1,2,1,6
5413,845,2,2,1,1,72
1716,1008,1,2,1,1,45
1699,498,0,2,2,1,168
7576,627,0,2,3,2,21
14634,145,1,2,2,1,8
11523,298,0,4,1,1,1
18341,498,0,2,2,1,29
16010,891,0,1,1,1,55
12862,1052,1,2,1,1,12
1492,755,0,2,1,1,2
12573,805,0,1,1,1,3
9422,126,0,2,2,1,39
9444,846,0,2,1,1,20
1646,1111,0,1,1,1,6
1447,642,1,1,3,1,8
14855,363,0,2,2,1,5
8602,497,0,2,2,1,353
6700,480,0,2,2,1,92
9205,714,0,2,1,1,1
8176,809,0,2,1,1,2
8376,496,0,2,2,1,2
12353,1042,0,2,1,1,26
14661,1019,0,1,1,1,1
14212,1089,2,1,1,1,58
6694,995,1,1,2,1,13
385,1107,1,1,2,1,42
13113,803,0,1,1,1,5
7670,504,0,2,2,1,9
10675,798,2,2,1,1,28
2221,1061,0,2,1,1,2
7758,704,1,2,1,1,16
11979,120,0,2,2,1,6
1217,451,0,2,2,1,87
16468,1010,0,2,1,1,3
6061,638,0,4,2,1,6
17735,846,1,2,1,1,15
18275,380,0,2,2,1,4
16407,584,0,1,1,1,3
4042,476,0,1,3,2,18
501,157,0,2,2,1,6
9005,471,0,2,2,1,238
4972,120,0,1,3,1,3
8107,488,0,2,2,1,26
13101,400,0,2,2,1,7
14400,735,0,2,1,1,1
11777,244,0,2,2,1,15
9951,805,0,1,2,2,6
7844,800,0,1,1,1,2
10539,809,0,1,2,1,7
11882,240,0,2,2,1,14
16092,734,0,1,2,1,28
2662,149,0,1,3,1,4
11023,902,0,1,1,1,2
4527,500,0,4,1,1,1
1051,480,0,2,2,1,122
14751,478,0,2,2,1,106
9096,968,0,1,1,1,7
14820,812,1,1,2,2,45
15604,944,0,1,1,1,12
13892,505,0,2,2,1,356
2186,480,0,2,2,1,97
9817,497,0,2,2,1,377
15340,709,0,1,1,1,5
15877,26,1,4,1,1,2
2277,836,0,1,1,1,4
15816,477,0,2,2,1,143
11167,343,0,4,1,1,2
4175,684,1,2,1,1,8
15765,466,0,2,2,1,20
3401,893,1,1,4,1,193
1981,600,1,2,1,1,16
15993,885,0,1,1,1,6
5907,638,0,1,1,1,3
18031,369,0,2,2,2,4
4028,484,0,2,2,1,56
6891,1063,0,1,1,1,5
18227,126,0,4,1,1,2
7951,1031,1,1,1,1,1
12022,643,1,1,1,1,2
12753,124,0,2,2,1,43
12320,903,0,2,1,1,1
5386,459,0,2,2,1,10
14658,276,0,1,3,1,4
622,856,1,2,3,2,4
6988,408,1,2,2,1,27
5537,1109,1,1,2,2,4
17106,181,0,2,2,1,27
13793,846,2,2,1,1,22
193,979,0,1,1,1,2
6059,335,1,2,2,1,4
4272,115,0,2,2,1,4
15383,846,1,2,1,1,4
4934,931,0,2,1,1,2
3646,175,1,1,2,1,5
14240,983,1,1,2,1,3
15303,810,0,1,2,1,6
8487,721,1,1,1,1,2
295,1050,1,1,1,1,3
5259,1,0,1,3,2,5
2118,379,0,2,2,1,6
18539,147,0,1,3,1,5
157,1072,0,1,1,1,6
12651,1030,1,1,1,1,4
900,819,1,4,1,1,3
3681,157,0,2,2,1,8
13970,845,2,1,2,1,50
7779,763,2,1,2,1,59
13880,618,1,1,2,2,5
14425,1038,1,1,1,1,4
11781,1044,0,1,1,1,4
7286,837,1,1,1,1,1
10427,229,1,1,3,1,22
4303,477,0,2,2,1,21
15913,1096,0,1,1,1,2
616,885,1,1,1,1,14
17051,964,0,2,1,1,1
10167,373,0,2,2,1,64
3566,518,0,4,1,1,6
10457,49,0,1,1,1,1
11166,848,0,2,1,1,1
8099,242,0,4,1,1,1
16791,744,1,1,2,2,9
665,1008,1,2,1,1,16
11816,829,0,2,1,1,3
855,1019,2,1,2,1,74
11078,894,0,1,3,1,82
15359,1034,2,1,1,1,1
13401,1049,0,1,1,1,6
8017,609,0,2,1,1,2
491,808,0,1,2,1,5
7900,477,0,2,2,1,11
3968,665,0,1,1,1,8
18111,963,0,1,1,1,1
9877,819,0,4,1,1,1
9134,805,0,1,1,1,4
15523,445,0,2,2,1,19
7902,891,0,2,1,1,5
1864,1107,2,1,2,1,170
8032,734,2,1,2,1,40
4756,745,2,1,4,4,17
4176,206,0,1,3,1,7
11482,930,0,1,1,1,1
16543,446,0,2,2,1,3
5903,344,0,2,2,1,22
1228,91,1,2,1,1,4
1533,475,0,2,2,1,36
15606,644,1,1,2,1,3
11776,1023,1,2,2,2,2
1430,807,0,4,1,1,1
5299,467,0,1,3,1,8
9479,118,0,2,2,1,30
14690,408,0,2,2,1,32
3364,13,1,1,1,1,4
9065,9,0,1,2,1,34
13823,1022,0,1,1,1,2
5229,496,0,2,2,1,451
9102,292,1,2,2,1,7
9908,1117,0,2,1,1,2
15274,962,1,1,2,1,16
15710,684,2,1,1,1,1
15801,1008,2,1,2,1,43
12900,476,0,2,2,1,16
10326,707,0,2,2,2,2
7841,690,0,1,1,1,22
16283,704,0,1,2,1,20
917,448,1,2,2,1,6
11861,803,1,1,1,1,2
17029,640,0,1,1,1,3
17343,1107,2,1,2,1,5
14267,864,1,1,1,1,5
13102,460,0,2,2,1,11
6991,794,0,1,4,4,11
3952,1,1,1,2,1,23
11868,46,0,1,1,1,2
11058,1066,0,1,1,1,2
